30000
9.75 , 0, 28069
9.75 , 0, 1508
2.5 , 0, 26116
9.75 , 0, 12988
10.25 , 0, 6138
9.25 , 0, 11978
61.25 , 0, 0
12.25 , 1, 29537
22.25 , 1, 1
6.25 , 2, 21614
0.25 , 2, 28204
16.5 , 2, 2
12.25 , 3, 22214
4.5 , 3, 20230
2.5 , 3, 369
9 , 3, 2870
2.25 , 3, 9625
0.5 , 3, 48
6.5 , 3, 7571
8 , 3, 7602
6.75 , 3, 7231
62.25 , 3, 3
7 , 4, 20750
6.75 , 4, 6488
9.75 , 4, 1126
4 , 4, 25382
11.5 , 4, 1016
49 , 4, 4
3 , 5, 22751
10.75 , 5, 16191
23.75 , 5, 5
6.5 , 6, 26910
3.5 , 6, 28400
7 , 6, 21650
3 , 6, 17234
30 , 6, 6
2 , 7, 2291
11.25 , 7, 11277
9 , 7, 10299
1 , 7, 14582
4 , 7, 4114
3.5 , 7, 2042
10 , 7, 90
3 , 7, 10330
4 , 7, 26892
9 , 7, 19045
1 , 7, 22163
4.5 , 7, 29996
72.25 , 7, 7
1.25 , 8, 22039
6.25 , 8, 12450
7 , 8, 24653
3.25 , 8, 29986
3.5 , 8, 15245
8.5 , 8, 8198
9 , 8, 13587
10.75 , 8, 5749
59.5 , 8, 8
2 , 9, 1339
7.25 , 9, 2684
19.25 , 9, 9
0.5 , 10, 10023
1.75 , 10, 5728
8.5 , 10, 23251
10 , 10, 8755
11 , 10, 27435
10 , 10, 18342
7.75 , 10, 1675
8 , 10, 10270
1.25 , 10, 23206
2.5 , 10, 26890
71.25 , 10, 10
2.5 , 11, 4987
2.75 , 11, 19059
10.5 , 11, 18053
6 , 11, 3028
7.25 , 11, 7730
2.25 , 11, 6034
8.75 , 11, 2217
10.75 , 11, 4247
11 , 11, 14378
1.5 , 11, 2832
9.25 , 11, 3669
82.5 , 11, 11
2.25 , 12, 20320
5 , 12, 4493
1.25 , 12, 1015
18.5 , 12, 12
2.75 , 13, 23124
11.25 , 13, 23538
12.25 , 13, 3060
11 , 13, 929
6 , 13, 11151
4.25 , 13, 2609
0.5 , 13, 14371
8.5 , 13, 23234
8.75 , 13, 21316
9.25 , 13, 19104
84.5 , 13, 13
4.75 , 14, 5219
1 , 14, 14991
10.75 , 14, 8528
5.75 , 14, 18813
6.75 , 14, 12286
2.75 , 14, 1122
2 , 14, 21895
6.75 , 14, 5979
3.5 , 14, 18031
2 , 14, 7208
1.75 , 14, 27693
57.75 , 14, 14
1.75 , 15, 4018
5.5 , 15, 29671
8.25 , 15, 11521
25.5 , 15, 15
1 , 16, 14974
4 , 16, 20109
3.75 , 16, 14794
11.75 , 16, 26020
7.75 , 16, 23335
0.5 , 16, 267
8.25 , 16, 21296
3.25 , 16, 9960
50.25 , 16, 16
6.5 , 17, 27338
16.5 , 17, 17
6.25 , 18, 1503
9.75 , 18, 22885
9.5 , 18, 16764
11.25 , 18, 5246
1.5 , 18, 24017
5.25 , 18, 14440
0.5 , 18, 3680
3 , 18, 28237
57 , 18, 18
2.75 , 19, 27707
6.25 , 19, 29552
10 , 19, 22377
3 , 19, 9652
1.25 , 19, 1932
33.25 , 19, 19
10 , 20, 15971
8.25 , 20, 14004
8.25 , 20, 6811
8.5 , 20, 22486
7.5 , 20, 5734
0.75 , 20, 3395
0.5 , 20, 4539
53.75 , 20, 20
1.75 , 21, 24258
7.5 , 21, 15286
3.25 , 21, 9840
11.25 , 21, 654
2.5 , 21, 8282
1.25 , 21, 16327
5.25 , 21, 6219
9.25 , 21, 29865
9.5 , 21, 10723
2.25 , 21, 10992
11.25 , 21, 18153
8.75 , 21, 19909
83.75 , 21, 21
6.5 , 22, 690
10 , 22, 3821
4 , 22, 2787
11.5 , 22, 11329
0.5 , 22, 9379
4.25 , 22, 10590
46.75 , 22, 22
1.75 , 23, 26580
9.75 , 23, 20893
21.5 , 23, 23
5.25 , 24, 9908
8.75 , 24, 5702
3.5 , 24, 21215
27.5 , 24, 24
0.5 , 25, 7424
5 , 25, 8039
0.75 , 25, 4748
0.75 , 25, 2342
11.5 , 25, 5555
10.5 , 25, 14675
39 , 25, 25
7.5 , 26, 20093
4.75 , 26, 292
22.25 , 26, 26
5.25 , 27, 1444
10.5 , 27, 5843
25.75 , 27, 27
10.75 , 28, 20552
10.5 , 28, 11028
8 , 28, 9188
6.5 , 28, 20614
3 , 28, 26241
9 , 28, 25496
6.25 , 28, 20266
64 , 28, 28
5.75 , 29, 21835
2.75 , 29, 16684
12.25 , 29, 14629
1.5 , 29, 22695
2.25 , 29, 161
10 , 29, 29292
0.75 , 29, 15203
2 , 29, 15862
7.5 , 29, 19560
2.5 , 29, 10926
57.25 , 29, 29
2 , 30, 14335
5 , 30, 17934
0.5 , 30, 4884
0.5 , 30, 17671
18 , 30, 30
0.5 , 31, 644
3.75 , 31, 15520
7 , 31, 8910
4.25 , 31, 19937
9.75 , 31, 7991
2.5 , 31, 18671
11.25 , 31, 8689
9.5 , 31, 2936
1.75 , 31, 1661
8.75 , 31, 7761
2.25 , 31, 17294
71.25 , 31, 31
8.75 , 32, 22110
3.25 , 32, 7984
11.75 , 32, 1923
8.5 , 32, 19433
42.25 , 32, 32
1.75 , 33, 16888
4 , 33, 19791
8.25 , 33, 274
10.5 , 33, 25850
5.25 , 33, 5376
5.25 , 33, 14219
9.5 , 33, 17922
54.5 , 33, 33
12.25 , 34, 17132
7 , 34, 4609
3.25 , 34, 2522
7.75 , 34, 21547
6.75 , 34, 6305
6.5 , 34, 4062
11.75 , 34, 18215
7 , 34, 25287
6.25 , 34, 23596
8 , 34, 25163
2 , 34, 160
88.5 , 34, 34
3.25 , 35, 26661
3.5 , 35, 23382
5.25 , 35, 4689
2 , 35, 7207
10.25 , 35, 1273
6 , 35, 8218
7.5 , 35, 26319
5 , 35, 3314
52.75 , 35, 35
2.75 , 36, 2458
8.5 , 36, 9513
5.25 , 36, 15604
0.75 , 36, 1004
6 , 36, 11411
33.25 , 36, 36
9 , 37, 23142
3.5 , 37, 12486
1.75 , 37, 4673
24.25 , 37, 37
2.5 , 38, 23331
8.75 , 38, 1082
1 , 38, 5534
1.75 , 38, 23317
24 , 38, 38
8.25 , 39, 9132
8.5 , 39, 10754
12.25 , 39, 16041
5.25 , 39, 8190
1.5 , 39, 20855
5.75 , 39, 380
4.75 , 39, 5993
8.25 , 39, 7557
5.75 , 39, 8799
3.25 , 39, 4382
10.25 , 39, 3122
8 , 39, 14249
91.75 , 39, 39
8.5 , 40, 22354
12 , 40, 26303
8.75 , 40, 17069
11.75 , 40, 301
12 , 40, 5331
7 , 40, 1324
5.5 , 40, 8792
3.5 , 40, 20997
4 , 40, 4986
2.5 , 40, 20148
85.5 , 40, 40
0.5 , 41, 11524
11 , 41, 20476
0.25 , 41, 8307
7.5 , 41, 2476
11.75 , 41, 10070
2.5 , 41, 28433
10 , 41, 28155
2.5 , 41, 7062
5.75 , 41, 197
1.25 , 41, 1432
9 , 41, 5000
72 , 41, 41
10.5 , 42, 651
20.5 , 42, 42
6.25 , 43, 11384
10.75 , 43, 13254
4.75 , 43, 19420
1 , 43, 18984
